timestamp,open,high,low,close,volume
4/20/2018,95.91,96.11,94.05,94.29,11562873
4/19/2018,96.44,97.07,95.34,96.11,23540522
4/18/2018,96.22,96.72,95.52,96.44,21043287
4/17/2018,95,96.54,94.88,96.07,26771000
4/16/2018,94.07,94.66,93.42,94.17,20288083
4/13/2018,94.05,94.18,92.44,93.08,23346063
4/12/2018,92.43,94.16,92.43,93.58,26758879
4/11/2018,92.01,93.29,91.48,91.86,24872110
4/10/2018,92.39,93.28,91.64,92.88,26939883
4/9/2018,91.04,93.17,90.62,90.77,31533943
4/6/2018,91.49,92.46,89.48,90.23,38026000
4/5/2018,92.435,93.065,91.4,92.38,29771881
4/4/2018,87.85,92.76,87.73,92.33,35559956
4/3/2018,89.575,90.05,87.89,89.71,37213837
4/2/2018,90.47,90.88,87.51,88.52,48515417
3/29/2018,90.18,92.29,88.4,91.27,45867548
3/28/2018,89.82,91.23,88.873,89.39,52501146
3/27/2018,94.94,95.139,88.51,89.47,53704562
3/26/2018,90.61,94,90.4,93.78,55031149
3/23/2018,89.5,90.46,87.08,87.18,42159397
3/22/2018,91.265,91.75,89.66,89.79,37578166
3/21/2018,92.93,94.05,92.21,92.48,23753263
3/20/2018,93.05,93.77,93,93.13,21787780
3/19/2018,93.74,93.9,92.11,92.89,31752589
3/16/2018,94.68,95.38,93.92,94.6,47329521
3/15/2018,93.53,94.58,92.83,94.18,26279014
3/14/2018,95.12,95.41,93.5,93.85,31576898
3/13/2018,97,97.24,93.97,94.41,34445391
3/12/2018,96.5,97.21,96.04,96.77,25333720
3/9/2018,95.29,96.54,95,96.54,36145524
3/8/2018,94.27,95.1,93.765,94.43,24861307
3/7/2018,93.16,93.9406,92.43,93.86,26716127
3/6/2018,94.34,94.49,92.941,93.32,22175776
3/5/2018,92.34,94.27,92.26,93.64,23901578
3/2/2018,91.58,93.15,90.86,93.05,32830389
3/1/2018,93.99,94.57,91.84,92.85,37135561
2/28/2018,94.84,95.705,93.63,93.77,29314525
2/27/2018,95.74,95.84,94.2,94.2,25540755
2/26/2018,94.4,95.45,94.25,95.42,29760276
2/23/2018,92.75,94.07,92.36,94.06,25779955
2/22/2018,92.05,92.73,91.36,91.73,22723756
2/21/2018,92.98,93.3595,91.49,91.49,26081953
2/20/2018,91.475,93.06,91.01,92.72,30107057
2/16/2018,92.45,93.5,91.8,92,30188535
2/15/2018,91.21,92.72,90.62,92.66,27407914
2/14/2018,88.51,90.99,88.41,90.81,34314101
2/13/2018,88.93,90,87.8,89.83,26200053
2/12/2018,88.735,89.78,87.9295,89.13,35501368
2/9/2018,86.3,88.93,83.83,88.18,57408480
2/8/2018,89.71,89.875,84.76,85.01,47485202
2/7/2018,90.49,91.77,89.2,89.61,40340551
2/6/2018,86.89,91.475,85.25,91.33,66157030
2/5/2018,90.56,93.24,88,88,42253469
2/2/2018,93.64,93.97,91.5,91.78,47076959
2/1/2018,94.79,96.07,93.5813,94.26,46645657
1/31/2018,93.75,95.4,93.51,95.01,44284284
1/30/2018,93.3,93.66,92.1,92.74,34153798
1/29/2018,95.14,95.45,93.72,93.92,30409620
1/26/2018,93.12,94.06,92.58,94.06,26348999
1/25/2018,92.465,93.24,91.93,92.33,23983094
1/24/2018,92.55,93.43,91.58,91.82,32107765
1/23/2018,91.9,92.3,91.54,91.9,22283365
1/22/2018,90,91.62,89.74,91.61,23190700
1/19/2018,90.14,90.61,89.66,90,34896964
1/18/2018,89.8,90.67,89.66,90.1,22931303
1/17/2018,89.08,90.28,88.75,90.14,24659472
1/16/2018,90.1,90.79,88.0104,88.35,35945428
1/12/2018,88.67,89.78,88.45,89.6,24000439
1/11/2018,88.13,88.13,87.24,88.08,16529868
1/10/2018,87.86,88.19,87.41,87.82,18129153
1/9/2018,88.65,88.7272,87.86,88.22,19390427
1/8/2018,88.2,88.58,87.6046,88.28,20293930
1/5/2018,87.66,88.41,87.43,88.19,22526563
1/4/2018,86.59,87.66,86.57,87.11,21145985
1/3/2018,86.055,86.51,85.97,86.35,24173064
1/2/2018,86.125,86.31,85.5,85.95,21993101
12/29/2017,85.63,86.05,85.5,85.54,18162779
12/28/2017,85.9,85.93,85.55,85.72,9872795
12/27/2017,85.65,85.98,85.215,85.71,13000828
12/26/2017,85.31,85.5346,85.03,85.4,9737412
12/22/2017,85.4,85.63,84.92,85.51,14033977
12/21/2017,86.05,86.1,85.4,85.5,16638402
12/20/2017,86.2,86.3,84.71,85.52,23425009
12/19/2017,86.35,86.35,85.27,85.83,23241979
12/18/2017,87.12,87.4999,86.23,86.38,21551076
12/15/2017,85.26,87.09,84.88,86.85,52430167
12/14/2017,85.43,85.8739,84.53,84.69,19080106
12/13/2017,85.74,86,85.17,85.35,21307911
12/12/2017,85.31,86.05,85.08,85.58,23534946
12/11/2017,84.29,85.37,84.12,85.23,19909119
12/8/2017,83.63,84.58,83.33,84.16,23825056
12/7/2017,82.54,82.8,82,82.49,20378114
12/6/2017,81.55,83.14,81.43,82.78,24821403
12/5/2017,81.34,82.68,80.9801,81.59,25512120
12/4/2017,84.42,84.4299,80.7,81.08,37977732
12/1/2017,83.6,84.81,83.22,84.26,29387325
11/30/2017,83.51,84.52,83.34,84.17,32998408
11/29/2017,84.71,84.9172,83.175,83.34,27358477
11/28/2017,84.07,85.06,84.02,84.88,21162639
11/27/2017,83.31,83.98,83.3,83.87,17603760
