timestamp,open,high,low,close,volume
4/20/2018,37.34,37.48,36.5,37.0151,14489330
4/19/2018,40.14,40.34,38.61,38.9,16770772
4/18/2018,40.5,40.5,39.51,40.18,9516578
4/17/2018,40.12,40.58,39.81,40.27,9740181
4/16/2018,39.89,40.07,39.49,39.93,5445277
4/13/2018,40.4,40.52,39.58,39.8,8288471
4/12/2018,40.63,40.995,40.42,40.6,5957260
4/11/2018,40.44,41.05,40.41,40.46,6299632
4/10/2018,41.27,41.3,40.18,40.7,7752378
4/9/2018,39.89,41.05,39.56,40.07,9335177
4/6/2018,39.55,40.04,38.91,39.23,12637015
4/5/2018,40,40.44,39.91,40.19,10002821
4/4/2018,37.8,39.63,37.7517,39.44,11933675
4/3/2018,39.6,39.66,38.44,38.98,9496666
4/2/2018,40.09,40.52,38.68,39.08,14019012
3/29/2018,40.24,41,40.18,40.49,11619609
3/28/2018,40.34,40.4,39.1201,40.01,21590678
3/27/2018,42.2,42.29,40.33,40.71,15262397
3/26/2018,41.97,42.4,41,41.85,13573792
3/23/2018,42.3,42.89,40.661,40.87,18935911
3/22/2018,42.94,43.06,41.6,42.51,18312596
3/21/2018,44.36,44.67,43.4,43.51,14568919
3/20/2018,44.24,44.36,43.75,44,11270567
3/19/2018,44.26,44.69,43.43,44.15,19223715
3/16/2018,44.99,45.22,44.75,44.97,14659384
3/15/2018,45.08,45.48,44.38,44.94,14188053
3/14/2018,44.775,45.15,44.05,44.09,11801596
3/13/2018,46,46,43.9,44.32,15869334
3/12/2018,46.02,46.31,45.45,46.01,8896163
3/9/2018,45.71,46.13,45.29,45.71,10069730
3/8/2018,44.51,45.71,44.5,45.39,15116811
3/7/2018,42.8,44.54,42.61,44.41,11848606
3/6/2018,43.53,43.71,42.69,43.14,14014384
3/5/2018,43.37,43.65,41.89,42.99,22091042
3/2/2018,42.98,43.99,41.8,43.8,34896969
3/1/2018,47.1,47.65,45.05,46.21,15883160
2/28/2018,47.46,48.18,46.8,47.15,12227796
2/27/2018,48.57,48.72,46.99,47.04,12688574
2/26/2018,49,49,48.19,48.8,9126891
2/23/2018,48.22,48.36,47.48,48.35,9730492
2/22/2018,47.93,48.01,47.16,47.81,9622201
2/21/2018,47.53,48.8,47.13,47.16,14555629
2/20/2018,46.34,47.92,46.3,46.93,10756846
2/16/2018,47.1,47.3,46.3,46.42,7362644
2/15/2018,47.78,47.91,46.26,47.11,9799789
2/14/2018,44.84,47.25,44.72,46.86,16726990
2/13/2018,43.77,44.74,43.57,44.55,8432096
2/12/2018,43.68,44.095,43.04,43.72,11475842
2/9/2018,42.62,43.41,40.93,42.93,18336748
2/8/2018,44.84,44.84,42.17,42.25,16458352
2/7/2018,44.97,45.33,44.22,44.39,14960187
2/6/2018,43.06,45.3,42.6,45.05,20648878
2/5/2018,45.03,47.64,44.11,44.6,19415651
2/2/2018,47.99,48.02,45.92,46.03,15944181
2/1/2018,46.89,49.25,45.5,47.55,19814438
1/31/2018,49.74,50.17,49.035,49.23,18376314
1/30/2018,48.75,49.43,48.22,49.26,13417983
1/29/2018,50.6,50.68,49.71,49.94,15783464
1/26/2018,48.23,50.55,48.1057,50.5,25705402
1/25/2018,46.74,47.74,46.35,47.38,14501113
1/24/2018,45.43,47.94,45.42,46.74,20874638
1/23/2018,45.4,45.7,44.34,45.18,13589749
1/22/2018,45.51,45.6,43.34,45.26,18430399
1/19/2018,46.15,46.4,45.57,46.02,6650566
1/18/2018,46.69,46.8,45.6,45.9,10400935
1/17/2018,46.9,46.93,46.02,46.61,6980679
1/16/2018,47.32,47.4,45.92,46.46,13359672
1/12/2018,46.68,47.23,46.285,46.4,9367176
1/11/2018,46.5,46.73,45.82,46.61,9719167
1/10/2018,45.44,46.5,45.17,46.45,11890770
1/9/2018,46.49,46.8,45.79,46.13,12380892
1/8/2018,45.675,46.5,45.56,46.1,14483436
1/5/2018,44,45.83,43.89,45.64,18182595
1/4/2018,43.96,44.08,43.13,43.67,9994171
1/3/2018,43.72,43.9,43.1114,43.51,12451049
1/2/2018,42.14,43.5,41.9,43.28,18131166
12/29/2017,41.67,41.861,41.3065,41.42,4815885
12/28/2017,42.31,42.47,41.6,41.63,6835649
12/27/2017,42.18,42.63,41.71,42.29,7002242
12/26/2017,41.96,42.42,41.645,42.14,6323869
12/22/2017,42.31,42.86,41.9,42.19,7162121
12/21/2017,42.2,42.7,41.97,42.27,7217729
12/20/2017,42.71,43.09,41.44,42.16,21883585
12/19/2017,41.61,43.48,41.61,42.97,31675294
12/18/2017,42,42.09,41.36,41.68,20053328
12/15/2017,40.46,40.59,39.9,40.32,24030539
12/14/2017,40.4,40.99,39.88,40.63,22350233
12/13/2017,39.02,40.91,38.9,40.8,28073691
12/12/2017,38.24,38.815,38.03,38.56,9126401
12/11/2017,38.05,38.55,37.61,38.46,9114520
12/8/2017,38.41,38.78,37.92,38.01,9479338
12/7/2017,37.83,38.33,37.73,38.13,16026007
12/6/2017,36.71,37.85,36.55,37.82,14647381
12/5/2017,36.04,37.6299,35.81,37.3,16057285
12/4/2017,37.77,38.25,36.66,36.75,15756822
12/1/2017,37.02,37.68,36.54,37.27,13550237
11/30/2017,37.87,38,37.12,37.45,16348800
11/29/2017,38.4,38.61,37.1,37.83,18196834
11/28/2017,38.76,38.96,38.3,38.57,8241815
11/27/2017,39,39.13,38.52,38.66,9577508
